,City,City ID,Latitude,Max Temp,Humidity,Wind Speed,% Clouds,Date
0,Cherskiy,2126199,68.75,-32.24,56,2.82,24,01/14/19
1,Necochea,3430443,-38.55,77.2,69,10.98,24,01/14/19
2,Halifax,6324729,44.65,21.2,57,5.82,75,01/14/19
3,Grand Gaube,934479,-20.01,80.6,74,9.17,40,01/14/19
4,Huarmey,3939168,-10.07,76.62,63,4.72,32,01/14/19
5,Busselton,2075265,-33.64,59.74,100,20.49,0,01/14/19
6,Te Anau,2181625,-45.41,49.39,86,2.71,48,01/14/19
7,Kapaa,5848280,22.08,78.98,62,8.05,90,01/14/19
8,Mar del Plata,3863379,-46.43,84.31,20,11.43,32,01/14/19
9,Dikson,1507390,73.51,7.09,93,22.84,80,01/14/19
10,Saint-Philippe,6138908,45.36,14.9,65,4.5,1,01/14/19
11,Klaksvik,2618795,62.23,32.0,100,26.4,92,01/14/19
12,Cape Town,3369157,-33.93,66.2,63,6.93,0,01/14/19
13,Mataura,6201424,-46.19,55.06,95,5.73,64,01/14/19
14,Rocha,3440777,-34.48,79.36,67,10.09,76,01/14/19
15,Saldanha,2737599,41.42,28.96,91,4.27,20,01/14/19
16,Manggar,1636426,-2.88,76.62,100,4.72,56,01/14/19
17,Machaneng,933488,-23.19,75.36,85,3.83,36,01/14/19
18,Sao Filipe,3374210,14.9,72.39,96,17.36,0,01/14/19
19,Saint George,262462,39.45,39.2,86,2.26,75,01/14/19
20,Hilo,5855927,19.71,75.92,64,4.7,20,01/14/19
21,Ushuaia,3833367,-54.81,60.8,81,20.8,75,01/14/19
22,Tasiilaq,3424607,65.61,15.8,43,24.16,68,01/14/19
23,Faya,110690,18.39,55.4,76,4.7,0,01/14/19
24,Gari,1506676,59.43,8.44,80,5.73,0,01/14/19
25,Ituiutaba,3460523,-18.97,88.41,54,5.06,8,01/14/19
26,Syracuse,5140405,43.05,26.96,85,2.48,1,01/14/19
27,Punta Arenas,3874787,-53.16,59.0,54,17.22,75,01/14/19
28,Georgetown,3378644,6.8,82.4,65,11.41,40,01/14/19
29,Hualmay,3939761,-11.1,76.26,69,6.29,20,01/14/19
30,Mahebourg,934322,-20.41,80.6,74,9.17,40,01/14/19
31,Khatanga,2022572,71.98,-20.14,59,16.46,76,01/14/19
32,Bethel,5880568,60.79,39.02,75,14.99,20,01/14/19
33,Samarai,2132606,-10.62,82.24,100,13.11,80,01/14/19
34,Hermanus,3366880,-34.42,55.6,91,2.93,0,01/14/19
35,Yellowknife,6185377,62.45,-16.61,68,9.17,20,01/14/19
36,Teahupoo,4033543,-17.83,86.0,70,16.11,75,01/14/19
37,Port Alfred,964432,-33.59,70.27,92,4.72,12,01/14/19
38,Thompson,6165406,55.74,-7.61,63,2.24,90,01/14/19
39,Sijunjung,1627185,-0.69,68.97,98,2.37,92,01/14/19
40,Barrow,3833859,-38.31,79.9,60,7.96,56,01/14/19
41,Jamestown,2069194,-33.21,72.84,69,3.49,12,01/14/19
42,Palu,1633034,-0.9,65.14,97,1.59,68,01/14/19
43,Nanortalik,3421765,60.14,27.21,95,5.61,88,01/14/19
44,Ucluelet,6171633,48.94,46.4,93,3.36,5,01/14/19
45,Berlevag,780687,70.86,26.6,100,9.17,90,01/14/19
46,Aklavik,5882953,68.22,-18.41,67,5.82,40,01/14/19
47,Nikolskoye,546105,59.7,33.8,95,6.71,90,01/14/19
48,Saskylakh,2017155,71.97,-56.63,0,7.29,0,01/14/19
49,Bluff,2175403,-23.58,73.96,84,8.75,56,01/14/19
50,Chuy,3443061,-33.69,75.58,93,9.98,68,01/14/19
51,Albany,5106834,42.65,28.4,45,3.36,75,01/14/19
52,Rikitea,4030556,-23.12,79.99,98,11.99,68,01/14/19
53,East London,1006984,-33.02,73.42,100,5.95,80,01/14/19
54,Ponta do Sol,3453439,-20.63,82.92,60,2.37,8,01/14/19
55,Leningradskiy,2123814,69.38,-7.09,91,12.44,80,01/14/19
56,Fort Nelson,5955902,58.81,1.4,84,5.82,75,01/14/19
57,Clyde River,5924351,70.47,-36.41,73,3.36,20,01/14/19
58,Biak,1637001,-0.91,73.29,100,3.71,92,01/14/19
59,Kangaatsiaq,3422683,68.31,6.69,100,7.52,44,01/14/19
60,Butaritari,2110227,3.07,83.46,100,15.35,92,01/14/19
61,Mecca,104515,21.43,60.82,92,3.38,20,01/14/19
62,Shimoda,1852357,34.7,49.03,100,7.96,0,01/14/19
63,Sadovoye,499535,47.78,31.12,96,14.79,80,01/14/19
64,Nantucket,4944903,41.28,33.98,68,10.29,90,01/14/19
65,Noumea,2139521,-22.28,77.0,78,9.17,0,01/14/19
66,Atuona,4020109,-9.8,81.84,98,15.46,76,01/14/19
67,Pangnirtung,6096551,66.15,-7.61,69,5.82,75,01/14/19
68,Weatherford,4740364,32.76,44.06,67,4.61,1,01/14/19
69,New Norfolk,2155415,-42.78,66.2,82,8.05,20,01/14/19
70,Qaanaaq,3831208,77.48,-28.24,100,8.75,0,01/14/19
71,Flinders,6255012,-34.58,71.49,86,5.17,100,01/14/19
72,Oistins,3373652,13.07,80.6,65,16.11,40,01/14/19
73,Cidreira,3466165,-30.17,83.64,86,3.71,68,01/14/19
74,Boguchany,1509844,58.38,3.36,73,4.5,36,01/14/19
75,Gushikawa,1863495,26.35,62.6,67,3.36,0,01/14/19
76,Victoria,1733782,5.28,78.8,94,6.96,75,01/14/19
77,Vao,588365,59.1,24.87,83,10.54,76,01/14/19
78,Kostomuksha,543899,64.59,20.01,88,6.62,80,01/14/19
79,San Patricio,3437029,-26.98,89.89,65,4.16,32,01/14/19
80,Langsa,1214724,4.47,65.91,83,2.37,0,01/14/19
81,Timbiqui,3667070,2.77,79.59,88,4.38,36,01/14/19
82,Tiksi,2015306,71.64,-35.44,67,2.82,36,01/14/19
83,Esperance,3573739,10.24,84.2,51,11.41,20,01/14/19
84,Hosakote,1267239,16.06,64.02,67,5.95,8,01/14/19
85,Lebu,344979,8.96,59.0,19,5.82,0,01/14/19
86,Pisco,3932145,-13.71,71.6,30,17.22,20,01/14/19
87,Kodiak,4407665,39.95,32.0,96,11.41,90,01/14/19
88,Devrek,748167,41.22,35.94,93,2.48,48,01/14/19
89,Souillac,3026644,45.6,48.2,66,2.24,90,01/14/19
90,La Ronge,6050066,55.1,15.8,85,9.17,90,01/14/19
91,Carnarvon,1014034,-30.97,66.09,17,10.54,0,01/14/19
92,Hobart,2163355,-42.88,66.2,82,8.05,20,01/14/19
93,Avarua,4035715,-21.21,84.2,70,4.7,40,01/14/19
94,Takoradi,2294915,4.89,81.39,100,7.74,8,01/14/19
95,Assiniboia,5887798,49.63,32.07,79,7.74,0,01/14/19
96,Kirakira,2178753,-10.46,82.74,100,5.61,8,01/14/19
97,Vaini,1273574,15.34,62.62,75,3.15,0,01/14/19
98,Saint-Louis,2978742,47.59,42.8,86,12.75,75,01/14/19
99,Gat,2249901,14.69,73.4,49,16.11,0,01/14/19
100,Mbandaka,2312895,0.05,75.31,94,2.59,68,01/14/19
